absolute_path,file_name,file_type,sheet_names,max_rows_cols_per_sheet,contains_cc_1412000040,contains_5005026371,contains_5005116291,contains_5005116292,contains_5005066281,contains_5005066282,contains_5005056281,contains_5005046281,contains_Apr_Mar_month_structure,looks_like,evidence_summary
D:\Sandbox\MP2027\raw\Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026.xlsx,Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026.xlsx,requirement,"Sheet1; Hạng mục cần cải tiến; Chi phí hệ thống; Chi phí khấu hao, lãi nhà đất; Chi phí tài sản cố định; Chi phí làm giấy tờ cho NNN; Chi phí sinh nhật; Chi phí phân bổ từ hành chính ; 勘定科目; 原価センタ","Sheet1:55x2; Hạng mục cần cải tiến:186x11; Chi phí hệ thống:97x9; Chi phí khấu hao, lãi nhà đất:131x17; Chi phí tài sản cố định:66x21; Chi phí làm giấy tờ cho NNN:24x17; Chi phí sinh nhật:48x16; Chi phí phân bổ từ hành chính :210x19; 勘定科目:244x9; 原価センタ:66x5",YES,YES,YES,YES,YES,YES,YES,YES,YES,requirement,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\raw\requirements\Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026.xlsx,Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026.xlsx,requirement,"Sheet1; Hạng mục cần cải tiến; Chi phí hệ thống; Chi phí khấu hao, lãi nhà đất; Chi phí tài sản cố định; Chi phí làm giấy tờ cho NNN; Chi phí sinh nhật; Chi phí phân bổ từ hành chính ; 勘定科目; 原価センタ","Sheet1:55x2; Hạng mục cần cải tiến:186x11; Chi phí hệ thống:97x9; Chi phí khấu hao, lãi nhà đất:131x17; Chi phí tài sản cố định:66x21; Chi phí làm giấy tờ cho NNN:24x17; Chi phí sinh nhật:48x16; Chi phí phân bổ từ hành chính :210x19; 勘定科目:244x9; 原価センタ:66x5",YES,YES,YES,YES,YES,YES,YES,YES,YES,requirement,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\docs\MP2027\Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026.xlsx,Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026.xlsx,requirement,"Sheet1; Hạng mục cần cải tiến; Chi phí hệ thống; Chi phí khấu hao, lãi nhà đất; Chi phí tài sản cố định; Chi phí làm giấy tờ cho NNN; Chi phí sinh nhật; Chi phí phân bổ từ hành chính ; 勘定科目; 原価センタ","Sheet1:55x2; Hạng mục cần cải tiến:186x11; Chi phí hệ thống:97x9; Chi phí khấu hao, lãi nhà đất:131x17; Chi phí tài sản cố định:66x21; Chi phí làm giấy tờ cho NNN:24x17; Chi phí sinh nhật:48x16; Chi phí phân bổ từ hành chính :210x19; 勘定科目:244x9; 原価センタ:66x5",YES,YES,YES,YES,YES,YES,YES,YES,YES,requirement,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\raw\Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026_ảnh.xlsx,Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026_ảnh.xlsx,requirement,"Sheet1; Hạng mục cần cải tiến; Chi phí hệ thống; Chi phí khấu hao, lãi nhà đất; Chi phí tài sản cố định; Chi phí làm giấy tờ cho NNN; Chi phí sinh nhật; Chi phí phân bổ từ hành chính ; 勘定科目; 原価センタ","Sheet1:1x1; Hạng mục cần cải tiến:1x1; Chi phí hệ thống:1x1; Chi phí khấu hao, lãi nhà đất:1x1; Chi phí tài sản cố định:1x1; Chi phí làm giấy tờ cho NNN:1x1; Chi phí sinh nhật:1x1; Chi phí phân bổ từ hành chính :1x1; 勘定科目:244x9; 原価センタ:66x5",YES,YES,YES,YES,YES,YES,YES,YES,YES,requirement,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\raw\requirements\Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026_ảnh.xlsx,Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026_ảnh.xlsx,requirement,"Sheet1; Hạng mục cần cải tiến; Chi phí hệ thống; Chi phí khấu hao, lãi nhà đất; Chi phí tài sản cố định; Chi phí làm giấy tờ cho NNN; Chi phí sinh nhật; Chi phí phân bổ từ hành chính ; 勘定科目; 原価センタ","Sheet1:1x1; Hạng mục cần cải tiến:1x1; Chi phí hệ thống:1x1; Chi phí khấu hao, lãi nhà đất:1x1; Chi phí tài sản cố định:1x1; Chi phí làm giấy tờ cho NNN:1x1; Chi phí sinh nhật:1x1; Chi phí phân bổ từ hành chính :1x1; 勘定科目:244x9; 原価センタ:66x5",YES,YES,YES,YES,YES,YES,YES,YES,YES,requirement,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\docs\MP2027\Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026_ảnh.xlsx,Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026_ảnh.xlsx,requirement,"Sheet1; Hạng mục cần cải tiến; Chi phí hệ thống; Chi phí khấu hao, lãi nhà đất; Chi phí tài sản cố định; Chi phí làm giấy tờ cho NNN; Chi phí sinh nhật; Chi phí phân bổ từ hành chính ; 勘定科目; 原価センタ","Sheet1:1x1; Hạng mục cần cải tiến:1x1; Chi phí hệ thống:1x1; Chi phí khấu hao, lãi nhà đất:1x1; Chi phí tài sản cố định:1x1; Chi phí làm giấy tờ cho NNN:1x1; Chi phí sinh nhật:1x1; Chi phí phân bổ từ hành chính :1x1; 勘定科目:244x9; 原価センタ:66x5",YES,YES,YES,YES,YES,YES,YES,YES,YES,requirement,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\docs\requirements\cai_tien_nhap_du_lieu_chung.md,cai_tien_nhap_du_lieu_chung.md,requirement,csv/md,lines:1855,NO,NO,NO,NO,NO,NO,NO,NO,YES,requirement,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\raw\source_file_order.csv,source_file_order.csv,requirement,csv/md,lines:10,NO,NO,NO,NO,NO,NO,NO,NO,YES,requirement,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\raw\source_file_order.xlsx,source_file_order.xlsx,requirement,source_file_order,source_file_order:10x5,NO,NO,NO,NO,NO,NO,NO,NO,YES,requirement,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\raw\施設課　MPFY2027.xlsx,施設課　MPFY2027.xlsx,raw_input,減価償却費（Depreciation）; 固定資産金利（Interest）; 水道光熱費（Electric & Water）; B&L; E&W,減価償却費（Depreciation）:136x15; 固定資産金利（Interest）:136x15; 水道光熱費（Electric & Water）:137x15; B&L:87x63; E&W:129x30,YES,NO,NO,NO,NO,NO,NO,NO,NO,raw_source,text scan sampled first 300 rows/sheet
