primary_row,account_code,primary_description,old_source_status,new_classification,generated_match_row,generated_match_item_id,generated_match_description,match_evidence,invariant_keys_used,confidence,action,nontech_reason
8,出向社員定時,,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
10,出向社員定時,,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
11,ローカル社員定時,,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
16,出向社員残業,,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
18,出向社員残業,,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
19,ローカル社員残業,,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
24,出向社員(人),,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
36,9114120009,,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
38,5006016260,建物,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
39,5006016261,土地,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
